Date,Open,Close,Volume
2023-01-02,99.83,100.5,2441
2023-01-03,100.93,100.36,3979
2023-01-04,100.24,101.01,2797
2023-01-05,100.72,102.53,1294
2023-01-06,100.67,102.3,1754
2023-01-09,102.11,102.06,2394
2023-01-10,103.9,103.64,1185
2023-01-11,103.5,104.41,2269
2023-01-12,104.58,103.94,1636
2023-01-13,102.82,104.48,2291
2023-01-16,103.95,104.02,4714
2023-01-17,102.34,103.55,4308
2023-01-18,103.14,103.79,1529
2023-01-19,101.93,101.88,4623
2023-01-20,99.29,100.16,3068
2023-01-23,99.21,99.59,3958
2023-01-24,99.59,98.58,4808
2023-01-25,98.32,98.89,3914
2023-01-26,98.82,97.99,1793
2023-01-27,95.44,96.57,4591
2023-01-30,98.57,98.04,3147
2023-01-31,99.26,97.81,3799
2023-02-01,95.41,97.88,1477
2023-02-02,95.66,96.46,2622
2023-02-03,96.49,95.91,4369
2023-02-06,95.82,96.02,1939
2023-02-07,95.24,94.87,1525
2023-02-08,94.64,95.25,3381
2023-02-09,94.73,94.65,1001
2023-02-10,94.2,94.36,1374
2023-02-13,94.92,93.75,3340
2023-02-14,95.86,95.61,3884
2023-02-15,95.93,95.59,4052
2023-02-16,94.12,94.53,1552
2023-02-17,94.87,95.36,3365
2023-02-20,93.7,94.14,2525
2023-02-21,94.74,94.35,2851
2023-02-22,91.96,92.39,1380
2023-02-23,91.35,91.06,2646
2023-02-24,93.33,91.25,1013
2023-02-27,92.86,91.99,1503
2023-02-28,91.84,92.16,3278
2023-03-01,93.25,92.05,3008
2023-03-02,91.34,91.75,4155
2023-03-03,88.23,90.27,1129
2023-03-06,88.54,89.55,4814
2023-03-07,87.22,89.09,1837
2023-03-08,89.79,90.15,4216
2023-03-09,90.51,90.49,3938
2023-03-10,90.4,88.73,4928
2023-03-13,89.38,89.05,3040
2023-03-14,88.45,88.67,1027
2023-03-15,88.82,87.99,3113
2023-03-16,86.39,88.6,4234
2023-03-17,89.87,89.63,2252
2023-03-20,91.33,90.56,1260
2023-03-21,88.24,89.72,3046
2023-03-22,90.56,89.41,2472
2023-03-23,90.08,89.75,2447
2023-03-24,90.31,90.72,1459
2023-03-27,90.87,90.24,4747
2023-03-28,92.33,90.06,1300
2023-03-29,89.13,88.95,3966
2023-03-30,88.0,87.75,4374
2023-03-31,88.11,88.57,3334
2023-04-03,89.07,89.92,4466
2023-04-04,90.68,89.85,4081
2023-04-05,90.0,90.85,4778
2023-04-06,91.29,91.22,1629
2023-04-07,90.09,90.57,1269
2023-04-10,91.41,90.93,3639
2023-04-11,92.8,92.47,2993
2023-04-12,93.47,92.43,2628
2023-04-13,93.49,94.0,2801
2023-04-14,91.11,91.38,3891
2023-04-17,91.22,92.2,1861
2023-04-18,91.84,92.29,4432
2023-04-19,92.37,91.99,2280
2023-04-20,92.84,92.08,3180
2023-04-21,89.17,90.09,4347
2023-04-24,90.74,89.87,2799
2023-04-25,91.59,90.23,2706
2023-04-26,92.12,91.71,4019
2023-04-27,93.07,91.19,3560
2023-04-28,89.61,90.38,3360
2023-05-01,88.63,89.88,1575
2023-05-02,89.02,90.8,3933
2023-05-03,92.62,91.12,3003
2023-05-04,91.25,90.59,2307
2023-05-05,91.05,91.11,4192
2023-05-08,91.48,91.2,4178
2023-05-09,91.05,92.17,2956
2023-05-10,93.92,91.47,3734
2023-05-11,91.27,91.14,3020
2023-05-12,90.86,90.75,4275
2023-05-15,90.01,89.29,3212
2023-05-16,90.06,89.58,3352
2023-05-17,90.07,89.84,4568
2023-05-18,89.06,89.85,2655
2023-05-19,90.09,89.62,2579
2023-05-22,90.08,88.2,2847
2023-05-23,89.12,87.78,3203
2023-05-24,89.03,87.44,2390
2023-05-25,86.12,86.63,2742
2023-05-26,85.48,86.47,2925
2023-05-29,86.75,86.88,1619
2023-05-30,88.82,88.76,2274
2023-05-31,90.03,88.94,1956
2023-06-01,87.5,89.2,2939
2023-06-02,90.65,89.12,4953
2023-06-05,87.04,87.2,3381
2023-06-06,86.75,87.18,4713
2023-06-07,86.22,87.24,1968
2023-06-08,88.04,89.7,3558
2023-06-09,90.33,89.51,2316
2023-06-12,89.88,89.81,2043
2023-06-13,88.48,89.77,1281
2023-06-14,87.31,88.6,3844
2023-06-15,89.41,89.75,4072
2023-06-16,92.17,90.5,3166
2023-06-19,91.03,91.29,2058
2023-06-20,88.88,90.38,1197
2023-06-21,91.54,91.78,3532
2023-06-22,90.11,90.38,4828
2023-06-23,88.27,90.97,2082
2023-06-26,93.11,93.16,3884
2023-06-27,91.94,92.17,2184
2023-06-28,92.3,91.6,2008
2023-06-29,93.55,91.7,3738
2023-06-30,92.33,91.2,2229
2023-07-03,89.38,89.65,2035
2023-07-04,88.61,89.72,1489
2023-07-05,91.23,88.65,1275
2023-07-06,89.19,89.13,3740
2023-07-07,88.22,88.21,3289
2023-07-10,89.73,89.76,2239
2023-07-11,89.17,88.98,2274
2023-07-12,88.51,88.65,4882
2023-07-13,88.89,89.47,1125
2023-07-14,87.69,88.24,1216
2023-07-17,88.43,88.46,4377
2023-07-18,89.23,89.77,4868
2023-07-19,87.45,88.16,2208
2023-07-20,88.45,88.35,4110
2023-07-21,88.35,88.61,2246
2023-07-24,90.89,89.39,4255
2023-07-25,85.5,88.15,3542
2023-07-26,87.92,86.83,3474
2023-07-27,88.6,87.35,4249
2023-07-28,85.58,87.65,1918
2023-07-31,87.56,87.9,4499
2023-08-01,87.88,88.25,2317
2023-08-02,86.16,87.57,4923
2023-08-03,87.02,87.8,3198
2023-08-04,86.98,88.09,3431
2023-08-07,89.13,87.38,2661
2023-08-08,90.18,89.24,4884
2023-08-09,90.99,89.72,1307
2023-08-10,89.25,88.53,2359
2023-08-11,88.05,89.18,2969
2023-08-14,87.68,88.21,3793
2023-08-15,89.49,89.0,1891
2023-08-16,88.93,90.15,1374
2023-08-17,90.05,89.33,4079
2023-08-18,90.06,90.3,3033
2023-08-21,90.34,90.71,2364
2023-08-22,92.24,91.53,1128
2023-08-23,93.87,93.43,2014
2023-08-24,92.82,93.18,2799
2023-08-25,93.59,92.43,3716
2023-08-28,90.46,91.54,4423
2023-08-29,91.34,90.72,2381
2023-08-30,91.24,90.65,1516
2023-08-31,90.68,90.99,2518
2023-09-01,91.59,91.27,1085
2023-09-04,90.84,92.09,2198
2023-09-05,93.03,92.11,4873
2023-09-06,93.37,93.56,4264
2023-09-07,92.77,93.29,3358
2023-09-08,97.06,96.01,2142
2023-09-11,95.94,96.64,4289
2023-09-12,94.37,95.78,3474
2023-09-13,93.16,94.71,2993
2023-09-14,95.8,95.19,4485
2023-09-15,93.69,94.97,3161
2023-09-18,97.44,95.69,4216
2023-09-19,94.08,96.16,4609
2023-09-20,97.78,96.09,4719
2023-09-21,95.45,95.24,1302
2023-09-22,93.63,93.72,3791
2023-09-25,92.73,93.28,4952
2023-09-26,94.53,94.13,1587
2023-09-27,94.31,94.35,1986
2023-09-28,94.21,93.1,2863
2023-09-29,93.39,93.28,1344
2023-10-02,93.81,93.66,1813
2023-10-03,92.41,92.78,2987
2023-10-04,92.87,92.93,3848
2023-10-05,93.3,92.99,4072
2023-10-06,90.14,91.85,4218
2023-10-09,90.86,92.2,2310
2023-10-10,93.51,92.76,2999
2023-10-11,94.02,93.85,2677
2023-10-12,94.72,94.9,4124
2023-10-13,93.54,93.52,2327
2023-10-16,92.93,92.59,2092
2023-10-17,92.56,93.1,3408
2023-10-18,92.84,93.61,4673
2023-10-19,94.33,94.13,4291
2023-10-20,97.0,97.98,2009
2023-10-23,98.96,98.55,1703
2023-10-24,97.99,99.69,1574
2023-10-25,101.67,100.64,2608
